Species,Island,Culmen Length (mm),Culmen Depth (mm),Flipper Length (mm),Body Mass (g),Sex,Delta 15 N (o/oo),Delta 13 C (o/oo)
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,medium,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,long,heavy,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,heavy,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,medium,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,medium,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,medium,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,medium,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,heavy,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,medium,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,heavy,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,long,heavy,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,medium,long,heavy,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,medium,long,heavy,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,long,heavy,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,heavy,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,medium,long,heavy,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,medium,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,medium,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,medium,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,medium,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,medium,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,medium,long,heavy,MALE,weak,medium concentrated
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,medium,long,heavy,MALE,medium concentrated,medium concentrated
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,medium,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,medium,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,medium,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,heavy,MALE,medium concentrated,medium concentrated
Gentoo penguin (Pygoscelis papua),Biscoe,medium,medium,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,medium,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,medium,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,medium,heavy,MALE,medium concentrated,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,medium,long,heavy,MALE,medium concentrated,medium concentrated
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,long,medium,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,.,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,medium,long,heavy,MALE,weak,medium concentrated
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,middleweight,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,heavy,MALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,short,long,heavy,FEMALE,weak,weak
Gentoo penguin (Pygoscelis papua),Biscoe,medium,medium,long,heavy,MALE,weak,weak
